field,rank,asin,title,star,public,price
Food,33,B075WWBTYQ,"Meat Up Dry Dog Food, Real Chicken, 6 Kg( 2 x 3 Kg) | High Protein & Fibre, Omega 3 & 6 For Healthy Skin & Coat, Strong Bones & Joint Health, Builds Immunity",4.0,"8,929",41.57
Food,34,B085PGWDCM,Hill's Science Plan Sensitive Stomach & Skin Medium Adult Dog Food With Chicken 14Kg,4.5,25,265.24
Food,35,B0089S2YXG,Royal Canin Size Health Nutrition Mini Puppy 8 KG,4.6,58,260.00
Food,36,B084THCKKC,"IAMS Dog Food Proactive Health Adult Small Breed Dry Dog Food, 1.5Kg, Complete and Balanced Dry Food for Small Breeds",4.3,21,36.10
Food,37,B06XFG1823,Orijen Dog's Original Food 6KG,4.5,514,236.65
Food,38,B003ITPDY8,Royal Canin Maxi Adult Dry Dog Food - 10KG,4.2,339,205.45
Food,39,B078H4DMHX,"Taste of the Wild Wetlands Canine Dog Food, 390 G",4.5,77,13.98
Food,40,B0019534BC,"Royal Canin Bhn Chihuahua Adult 1.5 Kg Breed Health Nutrition Dog Food, Multicolor, 02Rcch1.5, Chihuahua Adult Dog Dry Food",4.6,"1,055",93.25
Food,41,B08BVMYRRN,"Drools Adult Wet Dog Food, Chicken & Chicken Liver Chunks Gravy, Pack Of 15 (2.25 Kg) | 100% Balanced Diet With Real Chicken, Omega 3 & 6 For Healthy Skin & Coat, Promotes Hydration & Easy Digestion",4.2,"3,782",34.63
Food,42,B003ZGEU70,Harringtons Complete Dry Adult Dog Food Turkey & Veg 15 kg - Made with all Natural Ingredients,4.6,"5,362",199.99
Food,43,B0DGLLCXCN,"Drools Adult Wet Dog Food, Real Chicken and Chicken Liver Chunks in Gravy,10 Pouches + 2 Pouches Free (12 x 60g)",4.4,517,17.26
Food,44,B0B75D6LTC,"Royal Canin Breed Health Nutrition Pomeranian (WET FOOD - Pouches) 12x85g, standard, RO285120",4.6,132,82.80
Food,45,B085PH2MTY,Taste of the Wild Grain Free Premium High Protein Dry Dog Food High Prairie Adult Roasted Bison & Roasted Venison - 12.2 KG,4.6,606,335.00
Food,46,B00628YLA4,"Royal Canin Shn XS Puppy 1.5 Kg Size Health Nutrition Dog Food, Multicolor, 02RCXS3, Extra Small Puppy Dog Food",4.6,"1,331",87.05
Food,47,B0CK5P89BL,Hill’s Science Plan Hypoallergenic with Salmon Medium Breed Adult Dry Dog Food - 2.5KG,4.0,8,110.35
Food,48,B07QGTTMQ6,Royal Canin CCN Mini Light Weight Care 3 kg Canine Care Nutrition Dog Food,4.7,574,118.00
Food,49,B019RIYR8G,Taste of the Wild Grain Free Premium High Protein Dry Dog Food Sierra Mountain With Roasted Lamb - 2 KG,4.8,21,84.55
Food,50,B0988GX6YP,"Harringtons Complete Wet Tray Grain Free Hypoallergenic Adult Dog Food Classics Bumper Pack 16x400g - Beef, Lamb, Salmon & Turkey- Made with All Natural Ingredients",4.5,"8,979",152.91
Food,51,B0040FABWI,"Royal Canin Shn Medium Adult 10 Kg Size Health Nutrition Dog Food, Multicolor, 35221, Medium Adult Dog Food",4.4,192,223.65
Food,52,B07TGKS6CW,Taste of the Wild Pacific Stream Canine Dog Food Can 390Grm Ir,4.4,55,10.71
Food,53,B07MVLDVBC,"Cesar Dog Food, Chicken Dog Wet Food, Tray of 6x100g, Formulated Without Grains, Complete and Balanced Dog Nutrition",4.1,31,52.18
Food,54,B005THVAIA,"Royal Canin Mini Breed Ageing 12 Plus Dog Food, 1.5 Kg",4.7,323,88.00
Food,55,B00IYNQWDY,Hill's Science Plan Hills Science Plan Small & Mini Adult Dog Food With Chicken 3Kg,4.6,84,99.81
Food,56,B016PXOVWI,Royal Canin CCN Medium Light Weight Care 3 kg Canine Care Nutrition Dog Food,4.5,215,120.52
Food,57,B00366YHBS,Royal Canin Shih Tzu Adult Dry Dog Food - 1.5KG,4.6,"1,033",98.55
Food,58,B0844YDSJ3,"Hill's Science Plan Medium Adult Dog Food With Chicken 14Kg, Standard",4.3,59,241.95
Food,59,B019RIYLJQ,Taste of the Wild Grain Free Premium High Protein Dry Dog Food Pacific Stream Adult - Smoked Salmon- 2 KG,5.0,10,90.00
Food,60,B084TH4477,"IAMS Dog Food Proactive Health Adult Dry Dog Food, 3Kg, Wholesome Ingredients, Complete and Balanced for All Breeds",4.6,10,65.50
Food,61,B01FIF5VY6,"Royal Canin Bhn Poodle Adult Wet Food Pouches Box Of 12X85G Breed Health Nutrition Dog Food, White/Gold",4.4,198,79.80
Food,62,B078HB8KVF,Taste of the Wild Sierra Mountain Canine Formula With Lamb In Gravy 390G Ir,4.4,121,14.00
Food,63,B00Y9SU19O,"Purina Pro Plan Healthy Start Small and Mini Puppy, Dry Dog food with Chicken, 3 kg",4.6,"1,285",120.00
Food,64,B01FIF2UTU,Royal Canin BHN Yorkshire Adult Wet Food Pouches Box of 12x85g Breed Health Nutrition Dog,4.6,255,76.05
Food,65,B00Y9SU0EA,"Proplan Small And Mini Adult Dog Food-Chicken, Brown, 3.0 Kg, 12272216",4.4,"1,104",119.27
Food,66,B0117E9DP0,"Purina Pro Plan Sensitive Digestion Small and Mini Adult, Dry Dog food with Lamb, 3 kg",3.9,39,127.43
Food,67,B06XHTT512,Harringtons Chicken Wet Dog Food 400g,4.4,75,9.31
Food,68,B0CK5PWQVC,Hill’s Science Plan Hypoallergenic Small & Mini Adult Dry Dog Food With Salmon - 1.5KG,4.1,20,103.00
Food,69,B00A689BFQ,Harringtons Complete Dry Adult Dog Food Salmon & Potato 12 kg - Made with All Natural Ingredients,4.6,"3,817",167.94
Food,70,B08X5SBQ2N,"Harringtons Complete Wet Tray Grain Free Hypoallergenic Adult Dog Food Meaty Pack 6x400g - Chicken, Beef & Lamb - Made with All Natural Ingredients",4.4,"2,015",59.90
Food,71,B00197NBMC,Royal Canin Maxi Adult Dry Dog Food - 4KG,4.3,"1,249",146.81
Food,72,B084TGW61F,"IAMS Dog Food Proactive Health Adult Small Breed Dry Dog Food, 3Kg, Complete and Balanced Dry Food for Small Breeds",4.1,7,65.50
Food,73,B09XJH3GJ7,Royal Canin Canine Care Nutrition Maxi Light Weight Care 12 Kg,4.7,48,363.40
Food,74,B071RYCF1C,"Pedigree Dog Food, Beef & Vegetables Flavour Dog Food Dry, 3Kg, Complete & Balanced Dog Dry Food For Adult Dogs",4.5,120,46.75
Food,75,B00Y9SSYJS,"Purina Pro Plan Everyday Nutrition Medium Adult, Dry Dog food with Chicken, 14 kg",4.6,"2,118",279.60
Food,76,B09JP48TWR,"Meat Up Puppy Dry Dog Food, Chicken & Milk, 6 Kg( 2 x 3 Kg)| DHA For Brain Development, High Protein For Bones, Joints & Muscle Growth, Omega 3 & 6 For Healthy Skin, Builds Immunity",4.1,"1,208",41.57
Food,77,B00IYNQS1A,"Hill's Science Plan Puppy Small & Mini Pet Food with Chicken, 1.5kg",4.5,134,53.65
Food,78,B08HJKQPSP,Royal Canin BHN Shih Tzu Wet Food Pouches Box of 12x85g Breed Health Nutrition Dog Food,4.5,98,88.00
Food,79,B0CQK9J6VH,Plaisir Dog Paté – Rich in Turkey – 22x150g Alu Trays – Energy Boost for Adult Dogs,4.3,8,115.93
Food,80,B0179AVTYY,"Reflex Small Breed Adult Dog Food, Chicken & Rice, 3kg",4.2,45,39.93
Food,81,B07YRY8C91,Harringtons Complete Dry Adult Dog Food Lamb & Rice 18kg - Made with All Natural Ingredients,4.6,"8,582",255.80
Food,82,B085PGZ6WY,"Taste of the Wild Canine Sierra Mountain With Roasted Lamb, 12.2kg",4.5,510,347.00
Food,83,B082X2LVZH,Carnilove Salmon & Turkey for Adult Dog Wet Food - 400G,5.0,4,12.02
Food,84,B07FLJ6LM2,Taste of the Wild Prey Angus Beef Formula For Dog With Limited Ingredients. 11.34kg,4.4,351,305.89
Food,85,B00XQBNWQO,Miglior Chunks Beef Dog Wet Food 405g,4.0,22,5.43
Food,86,B00EKQ2QOI,Harringtons Salmon Adult Wet Dog Food 400G,4.0,56,9.41
Food,87,B00ZRD9RR2,"Purina Pro Plan Sensitive Skin Small and Mini Adult, Dry Dog food with Salmon, 3 kg",4.6,687,129.11
Food,88,B00628YM08,Royal Canin Shn Xs Adult 1.5 Kg Size Health Nutrition Dog Food,4.6,821,87.40
Food,89,B002DPQJSM,Royal Canin Bhn Cavalier King Charles Adult 1.5 Kg Breed Health Nutrition Dog Food,4.6,187,85.05
Food,90,B007ZYR7IW,Royal Canin Medium Ageing 10+ Dry Dog Food - 3KG,4.7,220,120.50
Food,91,B00L58VINY,Farmina Lamb&Blueberry Adult Mini Dog Dry Food - 2.5KG,4.2,166,141.41
Food,92,B0CQK4GV5J,Plaisir Dog Paté – Rich in Beef & Veggies – 22x150g Alu Trays – Wholesome Adult Wet Food,4.7,8,115.93
Food,93,B07QGX3K32,Royal Canin Canine Care Nutrition Mini Digestive 3 KG,4.7,431,141.80
Food,94,B003XVVD9U,"Royal Canin Gastro Intestinal Low Fat, 1.5 kg",4.7,"1,064",206.68
Food,95,B06XFZ9383,ORIJEN FIT & TRIM DOG 11.4KG,4.5,183,384.95
Food,96,B00IYNR13E,Hill's Science Plan Small & Mini 1.5 kg,4.7,20,115.95
Food,97,B000RYU5C2,Royal Canin Dachshund Adult Dry Dog Food - 1.5KG,4.8,585,97.52
Food,98,B009H3WL7Q,Royal Canin BHN French Bulldog Adult 3 kg Breed Health Nutrition Dog Food,4.6,669,154.25
Food,99,B06XFXQ3W3,Orijen - Six Fish Dog Food (11.4kg),4.6,285,461.00
Food,100,B07JCVD7D9,Lily's Kitchen Dog Classic Multipack Wet Dog Food - 6X400G,4.6,"1,340",87.20
Dehydrated,1,B0CLMBMCPF,Bully Max Wet Puppy Food - Instant Fresh Dehydrated High Protein Soft Dog Food with Chicken - Healthy Growth for Small & Large Breed Puppies - 2 Dry Dog Food Pounds (Makes 5.5 lbs. of Wet Food),4.2,241,149.16
Dehydrated,2,B088455Q3R,"The Honest Kitchen Butcher Block Pâté: Chicken & Super Greens Wet Dog Food, 10.5 oz (Pack of 6)",4.2,"1,233",173.00
Dehydrated,3,B01N21ODVG,The Honest Kitchen Limited Ingredient Dehydrated Grain Free Beef Dog Food 4 lb - Hope,3.9,92,383.00
Dehydrated,4,B00TM9PIWA,The Honest Kitchen Human Grade Dehydrated Whole Grain Dog Food – Complete Meal or Dog Food Topper – Chicken 2 lb (makes 8 lbs),4.0,"1,363",163.00
Dehydrated,5,B00JQEHVSK,"The Honest Kitchen Dehydrated Whole Grain Turkey Dog Food, 2 lb Box",4.0,511,174.00
Dehydrated,6,B00ZBI9DYU,The Honest Kitchen Limited Ingredient Dehydrated Grain Free Turkey Dog Food 4 lb - Marvel,4.2,111,368.12
Dehydrated,7,B0CLMBH2VP,Bully Max Wet Dog Food for Adults & Puppies - Dehydrated High Protein Instant Fresh Soft Dog Food with Chicken - Healthy Muscle Growth for Small & Large Breeds - 2 Dry Pounds (Makes 5.5 lbs. Wet Food),4.3,195,157.94
Dehydrated,8,B00A8O8LHW,Honest Kitchen The Food for Dogs with Dehydrated Ingredients Without Wheat,4.1,164,567.90
Dehydrated,9,B08SZKC95J,The Honest Kitchen Human Grade Dehydrated Grain Free Dog Food – Complete Meal or Dog Food Topper – Beef 7 lb (Makes 28 lbs),4.3,"1,450",278.00
Dehydrated,10,B08GB5BFML,"The Honest Kitchen Dehydrated Whole Grain, Veggie & Fruit Base Mix Dog Food (Just Add Protein), 3 lb Box",4.4,278,418.19
Dry,1,B000L425TY,"Royal Canin Size Health Nutrition Mini Adult Dry Dog Food 2 Kg Multicolor, 02Rcmina2, Mini Adult Dog Dry Food",4.5,"2,333",67.40
Dry,2,B000T4FWQ4,Royal Canin Size Health Nutrition Mini Adult - 8 kg,4.5,"2,519",154.15
Dry,3,B006NR23JU,"Pedigree Dog Food, Chicken & Vegetables Flavour Dog Food Dry, 10Kg, Complete & Balanced Dog Dry Food For Adult Dogs",4.4,154,84.50
Dry,4,B005OI7J98,Royal Canin Shn Size Health Nutrition Mini Puppy 2Kg Dog Dry Food,4.5,"1,930",91.80
Dry,5,B002FTK8GK,Royal Canin Medium Adult Dry Dog Food - 4KG,4.5,789,89.25
Dry,6,B001AW07UU,Royal Canin Bhn Golden Retriever Adult 12 Kg Breed Health Nutrition Dog Food,4.4,499,292.79
Dry,7,B07PRNMZMS,"Pedigree Dog Food, Adult Mini, Beef, Lamb & Vegetables Flavour Dog Food Dry, 1.5Kg, Complete & Balanced Dog Dry Food For Mini Adult Dogs 9 Months and Up",4.3,131,24.70
Dry,8,B01CWXF7R8,"Pedigree Puppy Dog Food, Milky Pockets with Chicken, Egg, and Milk Flavour Dog Food Dry, 1.3Kg, Nutri Defense Dog Dry Food For Puppies",4.3,161,20.10
Dry,9,B01FWJXVB8,Hill's Science Plan Hills Science Plan Sensitive Stomach & Skin Small & Mini Adult Dog Food With Chicken 1.5Kg,4.5,68,74.10
Dry,10,B06XNBWL48,Orijen Original Dog Food 11.4Kg,4.7,"1,323",373.63
Dry,11,B002DPMQSO,"Royal Canin Shn Maxi Adult 15 Kg Size Health Nutrition Dog Food, Multicolor, 3182550732154, Maxi Adult Dog Dry Food",4.4,451,288.20
Dry,12,B000VJW2GA,Royal Canin Medium Adult Dry Dog Food - 15KG,4.4,"1,041",249.30
Dry,13,B004VK6P0E,Royal Canin Bhn Maltese Adult 1.5 KGBreed Health Nutrition DogFood,4.6,880,85.95
Dry,14,B001AW081S,Royal Canin Poodle Adult Dry Dog Food - 1.5KG,4.5,771,95.40
Dry,15,B004ZQ270G,Royal Canin SHN Mini Indoor Adult 1.5 kg Size Health Nutrition Dog Food,4.5,69,84.85
Dry,16,B000T4DTGY,Royal Canin Medium Puppy Dry Food - 4KG,4.5,"2,203",134.00
Dry,17,B08CVPZ4H1,Royal Canin BHN Pomeranian Adult 1.5 kg Breed Health Nutrition Dog Food,4.6,399,88.05
Dry,18,B08LRGCDWR,ORIJEN ADULT SMALL BREED DOG 1.8KG,4.7,177,124.00
Dry,19,B072HT4K2H,"Pedigree Dog Food, Beef & Vegetables Flavour Dog Food Dry, 10Kg, Complete & Balanced Dog Dry Food For Adult Dogs",4.4,104,100.60
Dry,20,B09JP53HKQ,"Meat Up Dry Dog Food, Meat And Rice, 6 Kg( 2 x 3 Kg)| High Protein & Fibre, Omega 3 & 6 For Healthy Skin & Coat, Strong Bones & Joint Health, Builds Immunity",4.3,"1,362",43.25
Dry,21,B00PKU5BNG,Hill's Science Plan Adult Perfect Weight Large Breed Dog Food with Chicken - 12KG,4.9,18,263.95
Dry,22,B002LYB15Q,"Royal Canin Bhn Cocker Adult 3 Kg Breed Health Nutrition Dog Food, Multicolor, 02Rcc3, Spaniel Food",4.6,470,113.75
Dry,23,B07KXK4LQ4,Royal Canin SHN Medium Adult Wet Food Pouches Box of 10x140g Size Health Nutrition Dog,4.6,106,78.90
Dry,24,B000T5GGH2,Royal Canin Yorkshire Terrier Adult Dry Dog Food - 1.5KG,4.7,593,88.05
Dry,25,B083SPG49X,Hill's Science Plan Perfect Weight Small & Mini Adult Dog Food with Chicken - 1.5KG,4.6,6,65.00
Dry,26,B000VJXWUU,"Royal Canin Bhn Labrador Adult 12 Kg Breed Health Nutrition Dog Food, Multicolor, 02Rcl, Food",4.5,"1,804",292.79
Dry,27,B075WWBTYQ,"Meat Up Dry Dog Food, Real Chicken, 6 Kg( 2 x 3 Kg) | High Protein & Fibre, Omega 3 & 6 For Healthy Skin & Coat, Strong Bones & Joint Health, Builds Immunity",4.0,"8,929",41.57
Dry,28,B085PGWDCM,Hill's Science Plan Sensitive Stomach & Skin Medium Adult Dog Food With Chicken 14Kg,4.5,25,265.24
Dry,29,B0089S2YXG,Royal Canin Size Health Nutrition Mini Puppy 8 KG,4.6,58,260.00
Dry,30,B084THCKKC,"IAMS Dog Food Proactive Health Adult Small Breed Dry Dog Food, 1.5Kg, Complete and Balanced Dry Food for Small Breeds",4.3,21,36.10
Dry,31,B003ITPDY8,Royal Canin Maxi Adult Dry Dog Food - 10KG,4.2,339,205.45
Dry,32,B0019534BC,"Royal Canin Bhn Chihuahua Adult 1.5 Kg Breed Health Nutrition Dog Food, Multicolor, 02Rcch1.5, Chihuahua Adult Dog Dry Food",4.6,"1,055",93.25
Dry,33,B003ZGEU70,Harringtons Complete Dry Adult Dog Food Turkey & Veg 15 kg - Made with all Natural Ingredients,4.6,"5,362",199.99
Dry,34,B085PH2MTY,Taste of the Wild Grain Free Premium High Protein Dry Dog Food High Prairie Adult Roasted Bison & Roasted Venison - 12.2 KG,4.6,606,335.00
Dry,35,B00628YLA4,"Royal Canin Shn XS Puppy 1.5 Kg Size Health Nutrition Dog Food, Multicolor, 02RCXS3, Extra Small Puppy Dog Food",4.6,"1,331",87.05
Dry,36,B0CK5P89BL,Hill’s Science Plan Hypoallergenic with Salmon Medium Breed Adult Dry Dog Food - 2.5KG,4.0,8,110.35
Dry,37,B07QGTTMQ6,Royal Canin CCN Mini Light Weight Care 3 kg Canine Care Nutrition Dog Food,4.7,574,118.00
Dry,38,B019RIYR8G,Taste of the Wild Grain Free Premium High Protein Dry Dog Food Sierra Mountain With Roasted Lamb - 2 KG,4.8,21,84.55
Dry,39,B0040FABWI,"Royal Canin Shn Medium Adult 10 Kg Size Health Nutrition Dog Food, Multicolor, 35221, Medium Adult Dog Food",4.4,192,223.65
Dry,40,B005THVAIA,"Royal Canin Mini Breed Ageing 12 Plus Dog Food, 1.5 Kg",4.7,323,88.00
Dry,41,B00IYNQWDY,Hill's Science Plan Hills Science Plan Small & Mini Adult Dog Food With Chicken 3Kg,4.6,84,99.81
Dry,42,B016PXOVWI,Royal Canin CCN Medium Light Weight Care 3 kg Canine Care Nutrition Dog Food,4.5,215,120.52
Dry,43,B00366YHBS,Royal Canin Shih Tzu Adult Dry Dog Food - 1.5KG,4.6,"1,033",98.55
Dry,44,B0844YDSJ3,"Hill's Science Plan Medium Adult Dog Food With Chicken 14Kg, Standard",4.3,59,241.95
Dry,45,B019RIYLJQ,Taste of the Wild Grain Free Premium High Protein Dry Dog Food Pacific Stream Adult - Smoked Salmon- 2 KG,5.0,10,90.00
Dry,46,B084TH4477,"IAMS Dog Food Proactive Health Adult Dry Dog Food, 3Kg, Wholesome Ingredients, Complete and Balanced for All Breeds",4.6,10,65.50
Dry,47,B00Y9SU19O,"Purina Pro Plan Healthy Start Small and Mini Puppy, Dry Dog food with Chicken, 3 kg",4.6,"1,285",120.00
Dry,48,B00Y9SU0EA,"Proplan Small And Mini Adult Dog Food-Chicken, Brown, 3.0 Kg, 12272216",4.4,"1,104",119.27
Dry,49,B0117E9DP0,"Purina Pro Plan Sensitive Digestion Small and Mini Adult, Dry Dog food with Lamb, 3 kg",3.9,39,127.43
Dry,50,B0CK5PWQVC,Hill’s Science Plan Hypoallergenic Small & Mini Adult Dry Dog Food With Salmon - 1.5KG,4.1,20,103.00
Dry,51,B00A689BFQ,Harringtons Complete Dry Adult Dog Food Salmon & Potato 12 kg - Made with All Natural Ingredients,4.6,"3,817",167.94
Dry,52,B00197NBMC,Royal Canin Maxi Adult Dry Dog Food - 4KG,4.3,"1,249",146.81
Dry,53,B084TGW61F,"IAMS Dog Food Proactive Health Adult Small Breed Dry Dog Food, 3Kg, Complete and Balanced Dry Food for Small Breeds",4.1,7,65.50
Dry,54,B09XJH3GJ7,Royal Canin Canine Care Nutrition Maxi Light Weight Care 12 Kg,4.7,48,363.40
Dry,55,B071RYCF1C,"Pedigree Dog Food, Beef & Vegetables Flavour Dog Food Dry, 3Kg, Complete & Balanced Dog Dry Food For Adult Dogs",4.5,120,46.75
Dry,56,B00Y9SSYJS,"Purina Pro Plan Everyday Nutrition Medium Adult, Dry Dog food with Chicken, 14 kg",4.6,"2,118",279.60
Dry,57,B09JP48TWR,"Meat Up Puppy Dry Dog Food, Chicken & Milk, 6 Kg( 2 x 3 Kg)| DHA For Brain Development, High Protein For Bones, Joints & Muscle Growth, Omega 3 & 6 For Healthy Skin, Builds Immunity",4.1,"1,208",41.57
Dry,58,B0179AVTYY,"Reflex Small Breed Adult Dog Food, Chicken & Rice, 3kg",4.2,45,39.93
Dry,59,B07YRY8C91,Harringtons Complete Dry Adult Dog Food Lamb & Rice 18kg - Made with All Natural Ingredients,4.6,"8,582",255.80
Dry,60,B085PGZ6WY,"Taste of the Wild Canine Sierra Mountain With Roasted Lamb, 12.2kg",4.5,510,347.00
Dry,61,B082X2LVZH,Carnilove Salmon & Turkey for Adult Dog Wet Food - 400G,5.0,4,12.02
Dry,62,B07FLJ6LM2,Taste of the Wild Prey Angus Beef Formula For Dog With Limited Ingredients. 11.34kg,4.4,351,305.89
Dry,63,B00ZRD9RR2,"Purina Pro Plan Sensitive Skin Small and Mini Adult, Dry Dog food with Salmon, 3 kg",4.6,687,129.11
Dry,64,B00628YM08,Royal Canin Shn Xs Adult 1.5 Kg Size Health Nutrition Dog Food,4.6,821,87.40
Dry,65,B002DPQJSM,Royal Canin Bhn Cavalier King Charles Adult 1.5 Kg Breed Health Nutrition Dog Food,4.6,187,85.05
Dry,66,B007ZYR7IW,Royal Canin Medium Ageing 10+ Dry Dog Food - 3KG,4.7,220,120.50
Dry,67,B00L58VINY,Farmina Lamb&Blueberry Adult Mini Dog Dry Food - 2.5KG,4.2,166,141.41
Dry,68,B07QGX3K32,Royal Canin Canine Care Nutrition Mini Digestive 3 KG,4.7,431,141.80
Dry,69,B003XVVD9U,"Royal Canin Gastro Intestinal Low Fat, 1.5 kg",4.7,"1,064",206.68
Dry,70,B06XFZ9383,ORIJEN FIT & TRIM DOG 11.4KG,4.5,183,384.95
Dry,71,B00IYNR13E,Hill's Science Plan Small & Mini 1.5 kg,4.7,20,115.95
Dry,72,B000RYU5C2,Royal Canin Dachshund Adult Dry Dog Food - 1.5KG,4.8,585,97.52
Dry,73,B009H3WL7Q,Royal Canin BHN French Bulldog Adult 3 kg Breed Health Nutrition Dog Food,4.6,669,154.25
Dry,74,B06XFXQ3W3,Orijen - Six Fish Dog Food (11.4kg),4.6,285,461.00
Dry,75,B09VY11Q27,"MONELLO Adult Dog Traditional 15kg, multicolor",4.4,27,177.99
Dry,76,B004FP9STU,Royal Canin SHN Mini Starter 1 kg Size Health Nutrition Dog Food,4.5,"2,767",81.14
Dry,77,B07V4P5W3K,Taste of the Wild Ancient Stream Canine Recipe 12.7Kg,4.7,"1,649",302.55
Dry,78,B083SSRJ8D,Hill's Science Plan Large Breed Adult Dog Food With Chicken 14Kg,4.7,62,249.86
Dry,79,B00Y9SSI1W,"Purina Pro Plan Everyday Nutrition Medium Adult, Dry Dog food with Chicken, 3 kg",4.5,363,119.27
Dry,80,B01JM9L94A,Taste of the Wild Appalachian Valley Canine Formula Dry Dog Food - 2KG,4.4,108,97.21
Dry,81,B005ZS7OUG,"Royal Canin Shn Mini Puppy 800 Gm Size Health Nutrition Dog Food, White, 02Rcmj800, Size Health Nutrition Mini Puppy",4.6,"2,593",47.75
